Date,Company,Prev Close,Day Close,Change (%),Change (Rs.),Turnover
15-08-2025,GREENTECH ENERGY,405.16847631274345,100.91,-75.0944214075655,,
22-08-2025,GREENTECH ENERGY,3.7,3.72,0.5451255569096505,,
25-08-2025,LIGHTHOUSE HOTEL,395.02210422617725,544.9034535849131,37.94252214122137,,
17-08-2025,CEYLON TEA BRKRS,74.90707433077684,216.54,189.075620727104,,
25-08-2025,LANKEM CEYLON,842.0,839.24,-0.3276904724918585,,
25-08-2025,SERENDIB HOTELS,22.5,21.4,(4.89),(1.10),
22-08-2025,VALLIBEL ONE,184.50477329222502,68.84729172332366,-62.68536011570771,,
25-08-2025,HAYLEYS FIBRE,64.0,60.82,-4.966105052309125,,
22-08-2025,RADIANT GEMS,200.0,200.5,0.2517578993422411,,
25-08-2025,RENUKA HOTELS,86.14065281132451,29.834610414648907,-65.36523761899483,,
22-08-2025,TESS AGRO,1.2,1.1,(8.33),(0.10),
11-08-2025,LOLC FINANCE,180.91534431889255,348.43,92.59325955281976,,
22-08-2025,DIPPED PRODUCTS,100.0,97.66,-2.335011032940613,,
25-08-2025,ASIRI,674.0,672.61,-0.2064771078416676,,
22-08-2025,ASIA SIYAKA,7.0,7.06,0.8799162946383277,,
22-08-2025,HNB,542.0,527.77,-2.624713266650651,,
22-08-2025,HNB,542.0,561.9,3.672414890199175,,
25-08-2025,CALT,61.1,63.39,3.747470734889747,,
25-08-2025,KANDY HOTELS,17.0,16.32,-4.0283531803403445,,
11-08-2025,CARSONS,256.49134138851304,155.3,-39.452596451433664,,
25-08-2025,LIGHTHOUSE HOTEL,544.9034535849131,366.377629968162,-32.7628357725083,,
25-08-2025,CONSUMER SERVICES,623.84,636.48,2.026377355687446,,
24-08-2025,HUNTERS,77.52843758454918,156.6,101.98871355702131,,
25-08-2025,LANKA HOSPITALS,400.0,404.83,1.2081880350589185,,
22-08-2025,AMF CO LTD,200.0,198.9,-0.5515497237291731,,
22-08-2025,CEYLINCO HOLD,3199.5,3247.27,1.4930688297554342,,
22-08-2025,HVA FOODS,3.3,3.37,1.9982373334382797,,
22-08-2025,SOFTWARE & SERVICES,894.29,909.6,1.7114491174317203,,
22-08-2025,LANKA VENTURES,88.6,92.74,4.673906990494846,,
25-08-2025,LAXAPANA,100.0,95.02,-4.97543659108127,,
22-08-2025,TESS AGRO,1.2,1.26,4.81219938723857,,
22-08-2025,HNB,542.0,403.75,10,0.75,
25-08-2025,CALT,61.1,58.55,-4.167769337919277,,
22-08-2025,SOFTWARE & SERVICES,894.29,867.32,-3.016090485126933,,
07-08-2025,TAL LANKA,428.5211810659041,112.79,-73.67930303478703,,
25-08-2025,YORK ARCADE,172.0,174.57,1.4960480943474783,,
25-08-2025,LAXAPANA,100.0,103.53,3.53103374930026,,
25-08-2025,RENUKA FOODS,17.4,17.63,1.337318202824207,,
22-08-2025,LAUGFS GAS,33.5,34.62,3.337919509188273,,
22-08-2025,ASIA ASSET,600.0,588.14,-1.9770009587765407,,
25-08-2025,SWISSTEK,440.0,456.22,3.686396398234257,,
25-08-2025,PEGASUS HOTELS,37.6,38.37,2.035060606445435,,
25-08-2025,CEYLON PRINTERS,60.72210276089212,120.87631450075791,99.06477049508227,,
25-08-2025,LIGHTHOUSE HOTEL,402.0,418.14,4.014436858492466,,
25-08-2025,EXTERMINATORS,792.0,830.5,4.860666583399055,,
22-08-2025,LAUGFS GAS,33.5,31.97,-4.571040904689239,,
25-08-2025,AMBEON HOLDINGS,532.0,538.14,1.1534737299988451,,
25-08-2025,DOCKYARD,190.0,185.29,-2.479852663209475,,
12-08-2025,DIPPED PRODUCTS,162.67942304456466,470.05,188.94504779144287,,
19-08-2025,ASIA ASSET,153.1290026012802,380.9,148.74289455759407,,
25-08-2025,CALT,100.0,99.34,-0.6558977666145829,,
25-08-2025,KELANI TYRES,104.75,106.66,1.8200348416766268,,
25-08-2025,CALT,100.0,96.89,-3.108499596449436,,
22-08-2025,FORT LAND,516.0,538.67,4.394336228961874,,
25-08-2025,CIC,522.0,508.23,-2.6376456587201966,,
08-03-2025,CONSUMER SERVICES,359.92697387993593,589.260525020968,63.71668915748807,,
25-08-2025,LAUGFS GAS,102.0,98.42,-3.506988008564589,,
05-08-2025,JKH,43.61680882501336,122.27,180.32461096413672,,
02-08-2025,CONSUMER SERVICES,123.5033195261376,203.34,64.64652366136684,,
22-08-2025,ACCESS ENG SL,59.131737254123756,37.42903298221291,-36.70229436798313,,
25-08-2025,ALPHA FIRE,28.9,29.01,0.3856152019779193,,
25-08-2025,RADIANT GEMS,84.9,85.76,1.0134466990708102,,
22-08-2025,CIC,242.0,233.08,-3.686505918550933,,
25-08-2025,RENUKA HOTELS,222.0,213.83,-3.68177403452796,,
22-08-2025,LANKA VENTURES,88.6,90.45,2.093208284726096,,
22-08-2025,ASIA SIYAKA,7.0,6.89,-1.6155444633754756,,
22-08-2025,CEYLINCO HOLD,3199.5,3133.52,-2.062292254979595,,
25-08-2025,ALPHA FIRE,329.6829393965359,468.82776700800673,42.20565003034939,,
22-08-2025,NAT. DEV. BANK,300.0,307.1,2.3673294585699303,,
22-08-2025,CIC,242.0,253.84,4.891814394789105,,
25-08-2025,SOFTLOGIC,466.0,449.16,-3.614679947393733,,
22-08-2025,CEYLON GUARDIAN,231.0,232.66,0.719858747427331,,
25-08-2025,CIC,522.0,498.78,-4.448588183249554,,
25-08-2025,SWISSTEK,440.0,427.07,-2.939297475793772,,
01-08-2025,AMANA LIFE,13.636707823844404,2.92,-78.59671592477088,,
22-08-2025,CARSONS,839.25,820.95,-2.1808164440274838,,
22-08-2025,LOLC FINANCE,264.0,260.76,-1.2277293514197063,,
25-08-2025,RENUKA,396.0,403.15,1.805581617791015,,
22-08-2025,LAXAPANA,426.0,444.43,4.327204775395735,,
25-08-2025,RENUKA FOODS,17.4,18.24,4.816218015125148,,
22-08-2025,ACCESS ENG SL,732.0,707.98,-3.2816200182438715,,
22-08-2025,CEYLINCO HOLD,31.470872296588897,11.15,-64.58036942252292,,
25-08-2025,LMF,184.0,179.19,-2.613612504447196,,
25-08-2025,COMMERCIAL,590.0,578.93,-1.876313469601557,,
22-08-2025,ACCESS ENG SL,732.0,723.18,-1.204970966252814,,
25-08-2025,LAUGFS GAS,102.0,102.72,0.7028844520958604,,
22-08-2025,MAHAWELI REACH,120.0,118.37,-1.361346116947988,,
25-08-2025,DOCKYARD,401.99177406686744,129.95487089916782,-67.67225617966226,,
25-08-2025,SOFTLOGIC,246.7797627416684,157.80774107751313,-36.05320820301303,,
25-08-2025,HATTON,300.0,305.02,1.6736179749180806,,
23-08-2025,DIPPED PRODUCTS,144.2845796474529,351.96,143.93490108540203,,
25-08-2025,HAYLEYS FIBRE,64.0,65.46,2.2845321571009736,,
25-08-2025,SINGER FINANCE,940.0,901.66,-4.0784658279916375,,
22-08-2025,CIC,242.0,235.74,-2.5866949170438227,,
25-08-2025,SOFTWARE & SERVICES,875.05,858.64,-1.8749454301479755,,
22-08-2025,ALPHA FIRE,517.4481406154763,361.0857672087454,-30.21797956810636,,
25-08-2025,CEYLON INV.,123.0,121.37,-1.3271554354073931,,
14-08-2025,RENUKA HOTELS,281.8960588716488,552.2415299454605,95.90253661435676,,
25-08-2025,KANDY HOTELS,17.0,17.8,4.701071595266532,,
08-08-2025,LOLC FINANCE,348.43075865496235,209.63,-39.83578677438567,,
22-08-2025,HVA FOODS,3.3,3.5,6.06,0.20,
25-08-2025,C T HOLDINGS,148.0,143.28,-3.189771433875641,,
22-08-2025,LIGHTHOUSE HOTEL,110.0,115.49,4.986942530304434,,
25-08-2025,LMF,184.0,176.23,-4.224685883908275,,
25-08-2025,KELANI TYRES,104.75,107.01,2.153048012484547,,
22-08-2025,LOLC FINANCE,264.0,270.16,2.331821281221778,,
22-08-2025,MAHAWELI REACH,120.0,116.51,-2.9116906450541,,
22-08-2025,CHEMANEX,204.0,209.27,2.5842472570754182,,
25-08-2025,CEYLON INV.,123.0,125.76,2.2432740081402125,,
25-08-2025,COMMERCIAL,590.0,170.5,6,0.50,
17-08-2025,ASIA ASSET,327.0828842875316,79.82,-75.59725449853116,,
22-08-2025,CONSUMER SERVICES,622.8,613.82,-1.4426315626732968,,
25-08-2025,EXTERMINATORS,792.0,5.6,2,0.10,
25-08-2025,RENUKA,396.0,386.12,-2.49532101207501,,
25-08-2025,HOTELS CORP.,33.9,35.24,3.943356087585295,,
25-08-2025,SOFTWARE & SERVICES,875.05,851.82,-2.655005223259063,,
22-08-2025,NAT. DEV. BANK,300.0,287.97,-4.011336615439854,,
07-08-2025,HVA FOODS,166.83436176538635,423.57,153.8854862052155,,
22-08-2025,LMF,290.1318278068389,180.24611054318706,-37.87440974480417,,
25-08-2025,AMANA LIFE,908.0,946.88,4.281573024118416,,
25-08-2025,MULLERS,1.6,1.64,2.227407677716214,,
22-08-2025,SLT,200.0,191.85,-4.075589310870965,,
22-08-2025,EXTERMINATORS,153.2312090557298,64.61712541052577,-57.830310281618495,,
25-08-2025,ASIRI,674.0,659.89,-2.0941244019364493,,
25-08-2025,DOCKYARD,804.0724491856337,321.7098245005012,-59.98994557936543,,
22-08-2025,NAT. DEV. BANK,300.0,144.5,4,2.25,
13-08-2025,CEYLINCO HOLD,18.20834875484385,31.47,72.83759620551477,,
25-08-2025,CONSUMER SERVICES,623.84,598.98,-3.984529136598305,,
25-08-2025,CEYLINCO HOLD,3021.0,3068.59,1.575270346971065,,
22-08-2025,FORT LAND,516.0,522.15,1.1915155157432729,,
25-08-2025,SINGER FINANCE,940.0,912.07,-2.971179176107264,,
25-08-2025,LAXAPANA,100.0,102.1,2.102414063609225,,
16-08-2025,MAHARAJA FOODS,6.238390984068613,13.13,110.3966686085166,,
25-08-2025,LMF,184.0,190.0,3.262137119506136,,
22-08-2025,UNION CHEMICALS,968.0,961.57,-0.6647635239921232,,
22-08-2025,VALLIBEL ONE,869.9125603597362,481.27093197354833,-44.67594170906928,,
09-08-2025,TAL LANKA,148.5445842710562,428.52,188.4798413680041,,
25-08-2025,DIPPED PRODUCTS,767.5233199113621,504.9773394724953,-34.20690598289406,,
25-08-2025,PEGASUS HOTELS,37.6,36.64,-2.543478473693946,,
25-08-2025,ASIRI,674.0,36.3,6,0.20,
25-08-2025,JKH,446.1296474052607,845.705627797868,89.56499141372589,,
22-08-2025,AUTODROME,295.8031729151948,177.21198618140411,-40.09124904410344,,
25-08-2025,LAUGFS GAS,102.0,32.5,4,1.10,
14-08-2025,RENUKA HOTELS,552.2415299454605,250.96122354966914,-54.55589448796903,,
25-08-2025,TESS AGRO,54.92624305481289,103.00329573279429,87.53020415032493,,
25-08-2025,ORIENT FINANCE,53.0,50.56,-4.596272424430142,,
25-08-2025,CEYLON INV.,123.0,125.24,1.8224436143244904,,
22-08-2025,DOCKYARD,416.69958373171596,635.0646337173011,52.40347207214283,,
25-08-2025,CEYLON PRINTERS,120.87631450075791,54.35908411673366,-55.029168169755195,,
25-08-2025,SINGER FINANCE,940.0,897.26,-4.546965759388314,,
06-08-2025,ASIA ASSET,58.36297220689968,116.43,99.49455034522973,,
16-08-2025,KANDY HOTELS,323.91340912137383,170.72832215381013,-47.291986887200345,,
22-08-2025,CHEMANEX,204.0,195.78,-4.029022984409375,,
25-08-2025,CEYLON TEA BRKRS,325.4769974066146,494.7410452148724,52.00491867534288,,
13-08-2025,LOLC FINANCE,73.99129931033518,152.01,105.43753237162936,,
08-08-2025,SWISSTEK,217.3352471830346,136.81,-37.05319748769597,,
25-08-2025,ALPHA FIRE,28.9,27.6,-4.4937752773092585,,
25-08-2025,HOTELS CORP.,33.9,34.32,1.238066594255363,,
25-08-2025,E B CREASY,300.0,305.96,1.9861022205442849,,
25-08-2025,DOCKYARD,190.0,196.94,3.6530472848280535,,
22-08-2025,HUNTERS,646.0,634.59,-1.7662843788447926,,
25-08-2025,SOFTWARE & SERVICES,875.05,893.52,2.111218170152859,,
22-08-2025,CEYLON TEA BRKRS,196.84536913533609,88.51,-55.03817868856329,,
22-08-2025,SAMSON INTERNAT.,404.0,421.16,4.24871341653869,,
15-08-2025,CARGO BOAT,182.68733452786552,484.96,165.45697645327851,,
25-08-2025,RENUKA FOODS,17.4,17.26,-0.7844437948427441,,
25-08-2025,HATTON,300.0,294.37,-1.877681603792648,,
22-08-2025,CEYLON TEA BRKRS,7.1,7.36,3.625977169558377,,
25-08-2025,DOCKYARD,190.0,102.25,6,0.50,
22-08-2025,ABANS,777.0232125597033,486.8615705539358,-37.34272507122465,,
22-08-2025,ACCESS ENG SL,887.2655993113443,418.43233691335644,-52.84023890499927,,
25-08-2025,LANKA CERAMIC,120.0,123.25,2.711643681819922,,
25-08-2025,SOFTWARE & SERVICES,875.05,850.14,-2.847017026785539,,
25-08-2025,AMANA LIFE,908.0,881.92,-2.8717751434784846,,
25-08-2025,LAUGFS GAS,102.0,97.46,-4.450421253499336,,
22-08-2025,ASIA ASSET,600.0,595.33,-0.7787844294981827,,
22-08-2025,TESS AGRO,1.2,1.17,-2.093337384006228,,
25-08-2025,SWISSTEK,440.0,93.0,4,2.80,
25-08-2025,ASIRI,674.0,672.89,-0.1645014920963099,,
25-08-2025,SWISSTEK,440.0,441.01,0.2304133461487234,,
12-08-2025,SWISSTEK,199.51951670092947,527.59,164.43000563248756,,
22-08-2025,TESS AGRO,1.2,1.17,-2.2873141351682325,,
25-08-2025,CALT,100.0,101.96,1.95656801093779,,
22-08-2025,CARGO BOAT,145.5,140.96,-3.11984282803711,,
25-08-2025,CONSUMER SERVICES,623.84,622.8,696.65,697.82,
25-08-2025,CIC,522.0,498.37,-4.5271081774563084,,
22-08-2025,DOCKYARD,775.513678396881,400.069555835429,-48.4123147044368,,
25-08-2025,CEYLON TEA BRKRS,422.18242961109394,164.1627349073815,-61.11568758117079,,
08-03-2025,C T HOLDINGS,110.0916722034609,53.87762125558476,-51.06112916877738,,
09-08-2025,CONSUMER SERVICES,139.1844058492524,293.68,111.00278770698635,,
25-08-2025,ALPHA FIRE,28.9,29.25,1.2120911168171355,,
22-08-2025,SOFTWARE & SERVICES,894.29,904.46,1.137121818542281,,
22-08-2025,LAXAPANA,426.0,51.0,12,0.30,
22-08-2025,CEYLON TEA BRKRS,7.1,7.26,2.214585879660444,,
25-08-2025,CALT,112.9618155830802,78.66,-30.36656723979821,,
25-08-2025,ABANS,436.0,427.17,-2.024864990746285,,
22-08-2025,SOFTWARE & SERVICES,894.29,918.29,2.684012226237336,,
22-08-2025,BALANGODA,89.9,93.04,3.487255704961948,,
25-08-2025,CALT,100.0,98.07,-1.9312015953768924,,
22-08-2025,HUNTERS,92.34442110340615,152.89827272493457,65.57391437185032,,
06-08-2025,CARSONS,38.99109454831638,60.2,54.40206145460703,,
22-08-2025,ASIA SIYAKA,7.0,6.87,-1.9009777266273156,,
25-08-2025,TESS AGRO,103.00329573279429,59.99909951295343,-41.75031091374015,,
13-08-2025,SWISSTEK,307.621392643112,186.08,-39.51119004539781,,
10-08-2025,DIPPED PRODUCTS,351.9604466445023,228.89,-34.967887963228954,,
25-08-2025,RENUKA HOTELS,653.2391120034213,214.09553943746445,-67.22554796499338,,
25-08-2025,RADIANT GEMS,84.9,83.54,-1.598579792522429,,
25-08-2025,C T HOLDINGS,190.86688575260555,349.3803603672287,83.04922773250586,,
25-08-2025,RENUKA HOTELS,222.0,220.19,-0.8153179305595035,,
12-08-2025,RICHARD PIERIS,166.64776603632296,104.11,-37.52516340864268,,
25-08-2025,E B CREASY,300.0,290.67,-3.110150932945018,,
22-08-2025,TESS AGRO,1.2,1.19,-1.1973796443126772,,
22-08-2025,LAXAPANA,426.0,417.1,-2.0898348148645987,,
22-08-2025,EXTERMINATORS,107.27598425940829,153.2312090557298,42.83831568974038,,
25-08-2025,AMF CO LTD,734.0,94.2,4,0.20,
25-08-2025,LMF,184.0,190.2,3.3702596412373502,,
22-08-2025,ASIA ASSET,600.0,615.79,2.631713034059543,,
25-08-2025,CONSUMER SERVICES,623.84,602.38,-3.439641886600231,,
25-08-2025,AMANA LIFE,64.0,62.04,-3.057447253374792,,
22-08-2025,VALLIBEL ONE,280.0,274.4,-2.000567431862086,,
25-08-2025,HAYLEYS FIBRE,64.0,67.3,5.16,3.30,
25-08-2025,LANKEM CEYLON,366.0511636410221,554.802720664148,51.56425542966725,,
25-08-2025,MULLERS,1.6,1.64,2.520954889185722,,
22-08-2025,HNB,542.0,542.78,0.1437063580392905,,
25-08-2025,SOFTWARE & SERVICES,875.05,894.01,2.167232833851209,,
25-08-2025,CEYLINCO HOLD,3021.0,3077.11,1.8572695107568205,,
22-08-2025,CARSONS,839.25,826.62,-1.5047719883060195,,
25-08-2025,CEYLINCO HOLD,3021.0,3036.64,0.5176155916687826,,
22-08-2025,CARSONS,839.25,843.56,0.5131739066281416,,
25-08-2025,LAXAPANA,113.30241631753906,179.91831519600484,58.794773353967514,,
